cat_num,term,bracketed,field,number,title,faculty,description,prerequisites,notes,meetings,building,room
8711,FALL,FALSE,ENG-SCI,268,"Chemical Kinetics",3127a1e60588003a06bbe3ee7f94b1bc,"Time rate of change of chemical species. Rate constants. Formulating a coupled chemical system. Numerical analysis of complex systems.",,"Offered in alternate years.","Tu., Th., 11:30-1",,
87128,SPRING,TRUE,ISLAMCIV,211,"The Jurisprudence of the Supreme Constitutional Court (SCC) of Egypt between 2011 and 2014: Aspects of Constitutional Doctrine",ad340526f473644aeb62ddb5a4aa58a4,"The aim of this seminar is to study the SCC's role in the transition processes between the presidencies of Nasser and Mubarak, on the one hand, the presidencies of Mubarak to Mursi and from Mursi to the situation of 2014. Under all these regimes the SCC 's task is to guarantee the state's abidance by its constitutional obligations in the field of legal procedure and democratic principles. In a first step we will compare the tasks assigned to the highest courts of the different branches of the judiciary in Egypt and the way in which the SCC is integrated into this hierarchy of this courts. In a second step we will study the way in which the SCC in the past acted as guarantor of constitutional norms with special consideration of Human Rights, the interpretation of Islamic Law as a constitutional source of national legislation and the state's prerogative of ruling under rules of emergence. Finally, we will focus on the role of the SCC as actor in the transition from the Mubarak to the Mursi presidency and from t",,"//Offered jointly with the Divinity School as 3494.","Tu., 2-4",,
87129,SPRING,FALSE,IMUNOL,306qc,"Systems Immunology",e45b7e0e16b6089f3568ea20c36e9bfc,"Our focus in this course is on the emerging field of systems immunology. Each session will review a class of experimental approaches, followed by a critical discussion of illustrative papers. Hands-on workshops will introduce students to computational tools for analyzing large-scale datasets, focusing on gene expression.",,,,,
8713,FALL,TRUE,ROM-STD,79,"Romance Languages and Cultures in Comparative Perspective",466cf6b6d086b2b0326cee3b6f8193e3,"Highlights of the similarities and differences among the Romance languages, beginning with an overview of the historical development of the Romance languages from Latin, and moving on to the comparison of linguistic identifiers of French, Italian, Portuguese, and Spanish; may also include a discussion of Catalan. Topics will cover comparative phonology, morphology, and syntax, as well as some cross-cultural experiences such as immigration and translation.","Advanced proficiency in one of the Romance Languages, or permission of the course head.","Conducted in English; texts in original and in translation. May not be taken by RLL graduate students to fulfill the history of the language requirement.","Hours to be arranged",,
8714,SPRING,FALSE,CHNSE,Bb,"Elementary Modern Chinese",325c54bd62662a51b72de3d17e6c171c,"Continuation of Chinese Ba.","Chinese Ba or equivalent.","No auditors. May not be taken Pass/Fail.","Hours to be arranged",,
8715,SPRING,FALSE,ECON,2146,"Financial Econometrics",8ba0c60082a7b78f58b864c49c97b3ae,"A seminar course in financial econometrics. The topics covered include testing stylized facts in finance, robust inference, testing return predictability and market efficiency, inference in consumption-based asset pricing models and applications to real data.","Economics 2120 or equivalent.",,"F., 2-5",,
8716,FALL,TRUE,ANTHRO,1090,"Ethnography and Archaeology",a512804ed79c861545ff45ddbf1564fc,"Archaeologists often draw on ethnographic studies of Western and non-Western societies as sources of explanation for ancient cultural practices. But the questions remain: how valid is the use of ethnographic analogy in the study of the past? What assumptions do archaeologists make about past social processes in their uses of ethnographic studies? These are some of the questions addressed in this course.",,,"M., 3-5",,
8718,SPRING,FALSE,KOREAN,Bb,"Elementary Korean",cd6b0615e4b6ee3590f0f60eaf420d4d,"Continuation of Korean Ba.","Korean Ba or equivalent.",,"M., W., F., at 11, and two additional hours to be arranged.",,
87193,SPRING,TRUE,SANSKRIT,107,"Valmiki's Ramayana",5ba259e923ae9ecd6970409a8d33897d,"This course will read selections of the ""first kavya"" in Epic Sanskrit. The objectives of the course include gaining speed and facility with the Epic poetic tradition, while focusing on the manner in which the text constitutes the figure of ""the hero.""","At least one year of Sanskrit.",,"Hours to be arranged",,
87204,FALL,FALSE,BIOPHYS,339,"Theoretical and Experimental Approaches to Study Genetic Variation within Populations",ed7488796700d446724211885228f8a4,,,,,,
